Date,Rank,Service,Program,Episode,Duration,Viewers,PeriodStart,PeriodEnd
2026-08-21,1,MTV Katsomo,Salatut elämät,"Tohtori Hansen, otaksun?",0:21:00,191000,2026-08-06,2026-08-19
2026-08-21,2,Ruutu,Syke - Kausi 23 - Jakso 19 06.08.2026 06:00,,0:23:55,147000,2026-08-06,2026-08-19
2026-08-21,3,Yle Areena,Rahan ruhtinatar,,0:47:09,115000,2026-08-06,2026-08-19
2026-08-21,4,Ruutu,Murha Hangossa - Kausi 2 - Jakso 7 12.08.2026 06:0,,0:21:18,93000,2026-08-06,2026-08-19
2026-08-21,5,Ruutu,Räjähdyspiste,20 kiloa,0:45:31,91000,2026-08-06,2026-08-19
2026-08-21,6,Yle Areena,Missä aurinko aina paistaa,,0:37:46,87000,2026-08-06,2026-08-19
2026-08-21,7,Yle Areena,Tuuri,Dad Baby,0:07:10,76000,2026-08-06,2026-08-19
2026-08-21,8,MTV Katsomo,Emmerdale,Pahin takana,0:22:00,56000,2026-08-06,2026-08-19
2026-08-21,9,Yle Areena,Michael Jackson: popin kuninkaan tuho,,0:58:18,56000,2026-08-06,2026-08-19
2026-08-21,10,Ruutu,Koskinen - Kausi 5 - Jakso 10 03.08.2026 06:00,,0:49:09,53000,2026-08-06,2026-08-19
2026-08-21,11,Yle Areena,5. kisapäivän kilpailut,,3:22:15,50000,2026-08-06,2026-08-19
2026-08-21,12,Yle Areena,Pääepäilty,,0:46:53,50000,2026-08-06,2026-08-19
2026-08-21,13,MTV Katsomo,Asian ytimessä.doc: Salatut elämät - totuus kohuko,,0:32:00,49000,2026-08-06,2026-08-19
2026-08-21,14,Yle Areena,Yle Uutiset 20.30,,0:14:46,46000,2026-08-06,2026-08-19
2026-08-21,15,Yle Areena,Tutkapari,,0:10:04,45000,2026-08-06,2026-08-19
2026-08-21,16,Yle Areena,Sunnuntain päiväkilpailut,,3:45:18,44000,2026-08-06,2026-08-19
2026-08-21,17,MTV Katsomo,Ensitreffit alttarilla Australia,Nopea lähtö,1:10:00,41000,2026-08-06,2026-08-19
