Date,Rank,Service,Program,Episode,Duration,Viewers,PeriodStart,PeriodEnd
2026-08-21,18,Yle Areena,Sydämet,,0:57:43,39000,2026-08-06,2026-08-19
2026-08-21,19,Yle Areena,Perjantai-dokkari,Kiusaaja,0:08:04,36000,2026-08-06,2026-08-19
2026-08-21,20,MTV Katsomo,Kauniit ja rohkeat,"Logan, hiomaton timantti",0:22:00,34000,2026-08-06,2026-08-19
2026-08-21,21,Yle Areena,Eput-elokuva,,1:44:09,34000,2026-08-06,2026-08-19
2026-08-21,22,Yle Areena,Nuori Morse,Zanana 2/2,0:46:05,34000,2026-08-06,2026-08-19
2026-08-21,23,Yle Areena,Shetlandsaarten murhat,,0:57:15,33000,2026-08-06,2026-08-19
2026-08-21,24,Yle Areena,A-studio,,0:35:01,30000,2026-08-06,2026-08-19
2026-08-21,25,Yle Areena,Varasteleva varpunen,,1:36:39,30000,2026-08-06,2026-08-19
2026-08-21,26,Yle Areena,Ryhmä Hau,Pennut tukkivat ison vuodon / Pennut ja,0:20:49,28000,2026-08-06,2026-08-19
2026-08-21,27,Yle Areena,Urheiluruutu,,0:15:35,28000,2026-08-06,2026-08-19
2026-08-21,28,Yle Areena,Pikku Kakkonen,,0:56:37,26000,2026-08-06,2026-08-19
2026-08-21,29,MTV Katsomo,Love Island UK,Gaalailta,0:46:00,24000,2026-08-06,2026-08-19
2026-08-21,30,MTV Katsomo,Remontilla rahoiksi,Huojuva torni,0:50:00,24000,2026-08-06,2026-08-19
2026-08-21,31,Ruutu,MasterChef Australia,Aika vai ainekset?,0:50:18,24000,2026-08-06,2026-08-19
2026-08-21,32,Yle Areena,Erikoisryhmä Hampuri,"Altes Land, neues Glück",0:43:56,24000,2026-08-06,2026-08-19
2026-08-21,33,MTV Katsomo,Kymmenen uutiset,Kymmenen uutiset,0:10:00,18000,2026-08-06,2026-08-19
2026-08-21,34,Ruutu,Selviytyjät Australia - Kausi 12 - Jakso 5 09.08.2,,1:11:48,16000,2026-08-06,2026-08-19
2026-08-21,35,MTV Katsomo,Lemmen viemää,Hämmentävä muisto,0:44:00,14000,2026-08-06,2026-08-19
2026-08-21,36,MTV Katsomo,Murhaklubi ratkaisee,"Myrkkykuningatar, osa 1/2",0:45:00,14000,2026-08-06,2026-08-19
2026-08-21,37,MTV Katsomo,Murha paratiisissa,Rakkaiden laji,0:44:00,13000,2026-08-06,2026-08-19
2026-08-21,38,MTV Katsomo,Love Island USA,Paras kesä ikinä,1:00:00,12000,2026-08-06,2026-08-19
2026-08-21,39,MTV Katsomo,Selviytyjät,Vettä huhumyllyyn,1:04:00,12000,2026-08-06,2026-08-19
2026-08-21,40,MTV Katsomo,Hercule Poirot,Vuoksi ja luode,1:33:00,11000,2026-08-06,2026-08-19
2026-08-21,41,MTV Katsomo,Unelmia Italiassa,Italialainen maajussi,0:21:00,11000,2026-08-06,2026-08-19
2026-08-21,42,Ruutu,Elokuva: Duudsonit-elokuva: Kotiinpaluu,,1:29:41,11000,2026-08-06,2026-08-19
2026-08-21,43,MTV Katsomo,Seitsemän uutiset,Seitsemän uutiset,0:09:00,10000,2026-08-06,2026-08-19
2026-08-21,44,MTV Katsomo,Midsomerin murhat,Pelätyt pelätit,1:30:00,9000,2026-08-06,2026-08-19
2026-08-21,45,MTV Katsomo,Downton Abbey,Jakso 8,1:06:00,8000,2026-08-06,2026-08-19
2026-08-21,46,MTV Katsomo,Sullivan''s Crossing,Pää ja sydän,0:44:00,8000,2026-08-06,2026-08-19
2026-08-21,47,MTV Katsomo,Tulosruutu,Tulosruutu,0:03:00,8000,2026-08-06,2026-08-19
2026-08-21,48,Ruutu,Pilvi on the road - Kausi 1 - Jakso 9 08.07.2026 0,,0:14:55,8000,2026-08-06,2026-08-19
2026-08-21,49,Ruutu,Sofia Bling Bling Dubai - Kausi 1 - Jakso 11 11.06,,0:13:43,7000,2026-08-06,2026-08-19
2026-08-21,50,Ruutu,Kumman kaa - Kausi 2 - Jakso 7 17.03.2026 07:30,,0:24:24,6000,2026-08-06,2026-08-19
2026-08-21,51,Ruutu,Elokuva: Vinski 2,,1:21:35,5000,2026-08-06,2026-08-19
2026-08-21,52,Ruutu,Huvila & Huussi - Kausi 17 - Jakso 12 25.05.2026 0,,0:42:53,5000,2026-08-06,2026-08-19
2026-08-21,53,Ruutu,Käenpesä - Kausi 4 - Jakso 17 17.11.2025 10:00,,0:42:35,5000,2026-08-06,2026-08-19
2026-08-21,54,Ruutu,Elokuva: Syke-elokuva: Kipinöitä yössä,,1:28:34,4000,2026-08-06,2026-08-19
2026-08-21,55,Ruutu,Hildur,Kaksi harjoittelijaa,0:44:30,4000,2026-08-06,2026-08-19
2026-08-21,56,Ruutu,Lioness - Kausi 3 - Jakso 1 03.08.2026 02:00,,0:46:35,4000,2026-08-06,2026-08-19
2026-08-21,57,Ruutu,Sipoon herttua,Älä nyt hyvä mies,0:20:58,4000,2026-08-06,2026-08-19
2026-08-21,58,Ruutu,Smurffit,Perheaikaa,0:11:30,4000,2026-08-06,2026-08-19
2026-08-21,59,Ruutu,Sunny Bunnies - Kausi 6 - Jakso 1 02.01.2025 06:50,,0:03:29,4000,2026-08-06,2026-08-19
2026-08-21,60,Ruutu,Unelmien poikamiestyttö,Finaalin huipennus,1:58:51,4000,2026-08-06,2026-08-19
